"SP500_lag2","IndexDiv_lag1","Loss"
-59.5959595959596,-97.979797979798,34139.1870602207
-57.5757575757576,-97.979797979798,33034.3765039469
-55.5555555555556,-97.979797979798,31939.6711321952
-53.5353535353535,-97.979797979798,30839.4773783043
-51.5151515151515,-97.979797979798,29743.5954928444
-49.4949494949495,-97.979797979798,28673.5430029096
-47.4747474747475,-97.979797979798,27617.3413398685
-45.4545454545455,-97.979797979798,26555.0184093941
-43.4343434343434,-97.979797979798,25498.5085132431
-41.4141414141414,-97.979797979798,24460.2464566001
-39.3939393939394,-97.979797979798,23437.5743558538
-37.3737373737374,-97.979797979798,22418.1481619698
-35.3535353535353,-97.979797979798,21411.2900841491
-33.3333333333333,-97.979797979798,20401.8256367905
-31.3131313131313,-97.979797979798,19418.019785055
-29.2929292929293,-97.979797979798,18431.049143913
-27.2727272727273,-97.979797979798,17483.4074547037
-25.2525252525252,-97.979797979798,16569.1525867493
-23.2323232323232,-97.979797979798,15673.8391511617
-21.2121212121212,-97.979797979798,14796.0236678623
-19.1919191919192,-97.979797979798,13924.3219434072
-17.1717171717172,-97.979797979798,13082.0626289081
-15.1515151515151,-97.979797979798,12257.5617442699
-13.1313131313131,-97.979797979798,11455.0936897634
-11.1111111111111,-97.979797979798,10680.3781979342
-9.09090909090908,-97.979797979798,9903.16495459238
-7.07070707070706,-97.979797979798,9107.08416459851
-5.05050505050504,-97.979797979798,8330.56018399301
-3.03030303030303,-97.979797979798,7569.89982023358
-1.01010101010101,-97.979797979798,6840.80235064213
1.01010101010101,-97.979797979798,6375.77445706911
3.03030303030303,-97.979797979798,5721.20131898103
5.05050505050505,-97.979797979798,5106.79275197814
7.07070707070707,-97.979797979798,4524.86817044187
9.09090909090909,-97.979797979798,3981.13381753807
11.1111111111111,-97.979797979798,3451.23809848969
13.1313131313131,-97.979797979798,2958.50078172114
15.1515151515152,-97.979797979798,2500.64710572826
17.1717171717172,-97.979797979798,2076.59436032807
19.1919191919192,-97.979797979798,1693.97609278275
21.2121212121212,-97.979797979798,1351.7334082518
23.2323232323232,-97.979797979798,1039.81726345393
25.2525252525253,-97.979797979798,766.851214349988
27.2727272727273,-97.979797979798,539.954022521534
29.2929292929293,-97.979797979798,355.447821882862
31.3131313131313,-97.979797979798,204.554187576195
33.3333333333333,-97.979797979798,96.4781751391183
35.3535353535354,-97.979797979798,29.1577964897428
37.3737373737374,-97.979797979798,0.896716008207946
39.3939393939394,-97.979797979798,12.8573305302344
41.4141414141414,-97.979797979798,68.0237021634789
43.4343434343434,-97.979797979798,166.35967822679
45.4545454545455,-97.979797979798,305.281887111892
47.4747474747475,-97.979797979798,485.650458135784
49.4949494949495,-97.979797979798,701.983100806229
51.5151515151515,-97.979797979798,953.90462560242
53.5353535353536,-97.979797979798,1246.63692584774
55.5555555555556,-97.979797979798,1577.08421991711
57.5757575757576,-97.979797979798,1936.71904166894
59.5959595959596,-97.979797979798,2331.04291467812
61.6161616161616,-97.979797979798,2761.1703683108
63.6363636363637,-97.979797979798,3227.89931867814
65.6565656565657,-97.979797979798,3724.32958984145
67.6767676767677,-97.979797979798,4230.41944200472
69.6969696969697,-97.979797979798,4761.14569587237
71.7171717171717,-97.979797979798,5320.93333413701
73.7373737373738,-97.979797979798,5918.5482091011
75.7575757575758,-97.979797979798,6560.56912659863
77.7777777777778,-97.979797979798,7217.27634719027
79.7979797979798,-97.979797979798,7904.1061069851
81.8181818181818,-97.979797979798,8619.66070216224
83.8383838383839,-97.979797979798,9367.09825210781
85.8585858585859,-97.979797979798,10142.1403026151
87.8787878787879,-97.979797979798,10960.3965832576
89.8989898989899,-97.979797979798,11835.5487931014
91.919191919192,-97.979797979798,12737.8350332604
93.9393939393939,-97.979797979798,13685.3553835162
95.959595959596,-97.979797979798,14669.5641661248
97.979797979798,-97.979797979798,15659.0788118136
100,-97.979797979798,16670.9868256363
-100,-95.959595959596,56109.3167252941
-97.979797979798,-95.959595959596,55013.0948070968
-95.959595959596,-95.959595959596,53923.0384720652
-93.9393939393939,-95.959595959596,52830.3091420188
-91.9191919191919,-95.959595959596,51751.0007311944
-89.8989898989899,-95.959595959596,50630.9664491106
-87.8787878787879,-95.959595959596,49490.6739270985
-85.8585858585859,-95.959595959596,48347.323249857
-83.8383838383838,-95.959595959596,47201.3807720296
-81.8181818181818,-95.959595959596,46070.9771742631
-79.7979797979798,-95.959595959596,44910.4277538568
-77.7777777777778,-95.959595959596,43700.1168500562
